,id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta,tipo_vinculo_componente,nivel_ensino
102,134045126,134044403,66436,1,OBRIGATÓRIO,GRADUAÇÃO
143,133795058,133795010,2054952,0,OPTATIVO,GRADUAÇÃO
190,133799104,133797961,69607,0,OPTATIVO,GRADUAÇÃO
317,133795035,133795010,21764,0,OPTATIVO,GRADUAÇÃO
440,133798108,133797961,52791,0,OPTATIVO,GRADUAÇÃO
529,133798181,133797961,55023,3,OBRIGATÓRIO,GRADUAÇÃO
660,140868914,133797961,26904,0,OPTATIVO,GRADUAÇÃO
700,133804441,133804382,57807,0,OPTATIVO,GRADUAÇÃO
735,137397634,133804382,69695,0,OPTATIVO,GRADUAÇÃO
758,133804590,133804382,69692,4,OBRIGATÓRIO,GRADUAÇÃO
775,133799102,133797961,69605,0,OPTATIVO,GRADUAÇÃO
836,133798004,133797961,2054929,0,OPTATIVO,GRADUAÇÃO
897,133795025,133795010,26918,0,OPTATIVO,GRADUAÇÃO
977,133795234,133795010,66437,3,OBRIGATÓRIO,GRADUAÇÃO
995,139932352,134044403,70885,0,OPTATIVO,GRADUAÇÃO
1024,134044644,134044403,55027,4,OBRIGATÓRIO,GRADUAÇÃO
1086,134044614,134044403,62886,0,OPTATIVO,GRADUAÇÃO
1130,133795222,133795010,66441,1,OBRIGATÓRIO,GRADUAÇÃO
1155,133795121,133795010,61114,0,OPTATIVO,GRADUAÇÃO
1222,133804383,133804382,2041507,0,OPTATIVO,GRADUAÇÃO
1226,137397984,134044403,69601,0,OPTATIVO,GRADUAÇÃO
1231,133804538,133804382,55056,0,OPTATIVO,GRADUAÇÃO
1233,134044603,134044403,52702,0,OPTATIVO,GRADUAÇÃO
1439,151048614,133804382,69589,0,OPTATIVO,GRADUAÇÃO
1448,133798185,133797961,52662,4,OBRIGATÓRIO,GRADUAÇÃO
1590,133798187,133797961,55027,4,OBRIGATÓRIO,GRADUAÇÃO
1659,133798149,133797961,61129,0,OPTATIVO,GRADUAÇÃO
1667,133798117,133797961,55052,0,OPTATIVO,GRADUAÇÃO
1710,133804401,133804382,26922,0,OPTATIVO,GRADUAÇÃO
1712,134044510,134044403,61097,0,OPTATIVO,GRADUAÇÃO
1757,133798094,133797961,55096,0,OPTATIVO,GRADUAÇÃO
1779,133804405,133804382,21764,0,OPTATIVO,GRADUAÇÃO
1842,133798007,133797961,2054932,0,OPTATIVO,GRADUAÇÃO
1916,133804597,133804382,23553,5,OBRIGATÓRIO,GRADUAÇÃO
1932,133804404,133804382,68133,0,OPTATIVO,GRADUAÇÃO
1971,133804820,133804382,2040707,0,OPTATIVO,GRADUAÇÃO
1985,133804571,133804382,55019,1,OBRIGATÓRIO,GRADUAÇÃO
2022,133804580,133804382,55022,2,OBRIGATÓRIO,GRADUAÇÃO
2031,134044494,134044403,59736,0,OPTATIVO,GRADUAÇÃO
2060,133798023,133797961,52990,0,OPTATIVO,GRADUAÇÃO
2091,134044457,134044403,2054921,0,OPTATIVO,GRADUAÇÃO
2104,133795228,133795010,55022,2,OBRIGATÓRIO,GRADUAÇÃO
2248,133804490,133804382,55036,0,OPTATIVO,GRADUAÇÃO
2389,133799110,133797961,69613,0,OPTATIVO,GRADUAÇÃO
