id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta
133804590,133804382,69692,4
133804597,133804382,23553,5
133804571,133804382,55019,1
133804580,133804382,55022,2
133804588,133804382,55026,4
133804572,133804382,55020,1
133804575,133804382,66436,1
133804596,133804382,52972,5
133804586,133804382,55025,3
133804573,133804382,55082,1
133804595,133804382,52866,5
133804592,133804382,23538,4
133804600,133804382,52973,6
133804576,133804382,66438,1
133804585,133804382,52664,3
133804574,133804382,66441,1
133804603,133804382,66373,7
133804587,133804382,66437,3
133804581,133804382,52665,2
133804593,133804382,23558,5
133804584,133804382,55024,3
133804601,133804382,52974,6
133804578,133804382,52662,2
134045737,133804382,69698,6
133804582,133804382,66444,2
133804598,133804382,52790,6
133804589,133804382,55027,4
133804605,133804382,52975,7
133804579,133804382,55021,2
133804602,133804382,52666,6
133804606,133804382,21790,7
133804583,133804382,55023,3
133804594,133804382,69693,5
133804591,133804382,55325,4
133804577,133804382,66440,1
133804604,133804382,21783,7
