id_curriculo_componente,id_curriculo,id_componente_curricular
133804441,133804382,57807
137397634,133804382,69695
133804383,133804382,2041507
133804538,133804382,55056
151048614,133804382,69589
133804401,133804382,26922
133804405,133804382,21764
133804404,133804382,68133
133804820,133804382,2040707
133804490,133804382,55036
133804494,133804382,55094
133804525,133804382,52690
133804408,133804382,2054904
133804516,133804382,52796
133804526,133804382,52691
133804500,133804382,55045
133804436,133804382,46256
151047853,133804382,69619
133804519,133804382,52688
133804524,133804382,55083
133804450,133804382,63935
133804551,133804382,66665
133804429,133804382,2054955
151047041,133804382,69610
133804533,133804382,52699
133804563,133804382,68478
133804406,133804382,21787
133804823,133804382,23465
133804419,133804382,2054928
133804506,133804382,52789
133804517,133804382,52686
133804384,133804382,43193
133804554,133804382,62887
151047847,133804382,69588
133804467,133804382,61083
140151303,133804382,69598
133804543,133804382,55084
133804434,133804382,25561
133804530,133804382,52794
133804505,133804382,52792
133804512,133804382,52795
133804465,133804382,61100
133804414,133804382,2054919
133804390,133804382,62381
137397628,133804382,69612
133804514,133804382,52788
133804822,133804382,55372
151047850,133804382,69616
133804427,133804382,2054953
151042965,133804382,72717
151042967,133804382,66443
133804472,133804382,61093
151047851,133804382,69586
137509133,133804382,70970
133804438,133804382,51457
133804557,133804382,63932
137397630,133804382,69696
151047040,133804382,69609
151042962,133804382,72715
133804488,133804382,52672
133804428,133804382,2054954
133804539,133804382,55057
133804508,133804382,52682
139932266,133804382,69618
133804493,133804382,55037
133804546,133804382,68482
151042961,133804382,72708
133804491,133804382,55040
133804415,133804382,2054921
133804417,133804382,2054925
133804458,133804382,61107
133804391,133804382,62382
133804527,133804382,52692
133804515,133804382,52793
133804481,133804382,61116
133804555,133804382,62888
133804474,133804382,61109
151047042,133804382,69611
137397632,133804382,69601
133804825,133804382,42067
133804486,133804382,61121
133804435,133804382,20033
133804393,133804382,26908
133804509,133804382,52683
133804410,133804382,2054905
133804549,133804382,55062
151047036,133804382,69600
133804456,133804382,61105
133804531,133804382,52697
133804461,133804382,61096
133804495,133804382,55041
133804439,133804382,56269
151047037,133804382,69606
133804483,133804382,61118
133804821,133804382,2040950
151042958,133804382,72710
151042959,133804382,72709
133804564,133804382,66481
139931770,133804382,69603
133804482,133804382,61117
133804422,133804382,2054931
133804388,133804382,55939
133804566,133804382,61132
137397631,133804382,66439
133804443,133804382,59733
133804424,133804382,2054950
133804477,133804382,61112
140869114,133804382,26904
133804468,133804382,61084
133804553,133804382,62886
133804511,133804382,52791
133804535,133804382,52702
133804550,133804382,66482
133804455,133804382,61104
133804499,133804382,55096
151048617,133804382,69593
133804484,133804382,61119
133804385,133804382,26528
133804480,133804382,61115
133804444,133804382,59734
133804558,133804382,63933
151047858,133804382,69624
133804824,133804382,42066
133804542,133804382,55060
133804437,133804382,27733
133804462,133804382,61097
133804523,133804382,55074
133804400,133804382,26921
133804537,133804382,55055
133804430,133804382,2054956
133804431,133804382,52813
133804532,133804382,52698
133804534,133804382,52700
133804518,133804382,52687
133804423,133804382,2054932
133804473,133804382,61094
133804552,133804382,61129
133804463,133804382,61098
133804466,133804382,61101
139927845,133804382,69605
133804451,133804382,65104
151042963,133804382,72711
151048615,133804382,69590
133804471,133804382,61087
137397633,133804382,70883
151047039,133804382,69608
133804476,133804382,61111
133804418,133804382,2054927
133804453,133804382,61102
151046242,133804382,66426
133804559,133804382,63937
133804569,133804382,53193
133804432,133804382,52990
133804440,133804382,57806
133804425,133804382,2054951
151051343,133804382,69597
133804528,133804382,52693
133804409,133804382,2054957
133804497,133804382,55095
133804389,133804382,55940
151047855,133804382,69621
133804454,133804382,61103
133804513,133804382,52681
133804502,133804382,55049
133804540,133804382,55058
151042960,133804382,72713
133804449,133804382,59739
133804448,133804382,59738
133804568,133804382,65103
133804562,133804382,65102
151047849,133804382,69587
133804548,133804382,55061
139651572,133804382,72204
133804426,133804382,2054952
133804565,133804382,68510
133804561,133804382,63934
151047852,133804382,69585
133804457,133804382,61106
133804478,133804382,61113
151048618,133804382,69594
133804475,133804382,61110
133804421,133804382,2054930
151054101,133804382,69614
151048619,133804382,69596
139932267,133804382,69602
151047848,133804382,69604
133804452,133804382,68476
137397629,133804382,70926
133804420,133804382,2054929
151048616,133804382,69592
133804479,133804382,61114
151046241,133804382,64878
133804445,133804382,59735
133804395,133804382,26916
133804547,133804382,63936
137397635,133804382,69595
133804521,133804382,55053
133804556,133804382,61130
133804387,133804382,64877
133804446,133804382,59736
133804501,133804382,55047
139932268,133804382,70885
133804402,133804382,26923
133804459,133804382,61108
139932269,133804382,69613
133804544,133804382,55085
133804447,133804382,59737
151047035,133804382,69599
133804498,133804382,55043
133804469,133804382,61085
151047857,133804382,69623
133804510,133804382,52684
133804504,133804382,55051
151047854,133804382,69620
133804520,133804382,55052
133804485,133804382,61120
133804396,133804382,26917
151042966,133804382,72714
133804394,133804382,26915
133804536,133804382,52996
133804398,133804382,26919
133804541,133804382,55059
133804492,133804382,55038
133804529,133804382,52694
133804496,133804382,55044
151047856,133804382,69622
133804433,133804382,55370
133804470,133804382,61086
133804399,133804382,26920
133804489,133804382,52673
133804460,133804382,61095
151051342,133804382,69591
151047038,133804382,69607
133804560,133804382,65101
133804487,133804382,61122
133804386,133804382,59634
133804507,133804382,52685
133804545,133804382,68479
133804397,133804382,26918
133804522,133804382,55054
139651573,133804382,72205
133804570,133804382,23557
133804416,133804382,2054922
133804403,133804382,26924
133804464,133804382,61099
133804503,133804382,55050
139850799,133804382,69615
133804392,133804382,68447
133804442,133804382,59732
133804567,133804382,68477
