id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta
133795234,133795010,66437,3
133795222,133795010,66441,1
133795228,133795010,55022,2
133798287,133795010,55028,5
133795232,133795010,55024,3
133795236,133795010,55026,4
133795231,133795010,55023,3
133795233,133795010,55025,3
133795227,133795010,66444,2
133795224,133795010,66438,1
133795238,133795010,52666,4
133795219,133795010,55019,1
133795225,133795010,66440,1
133795223,133795010,66436,1
133795220,133795010,55020,1
133795221,133795010,55082,1
133795237,133795010,55027,4
133795239,133795010,52790,6
133795230,133795010,52662,2
133795229,133795010,52665,2
133795235,133795010,52664,3
133795226,133795010,55021,2
