id_curriculo_componente,id_curriculo,id_componente_curricular
133795058,133795010,2054952
133795035,133795010,21764
133795025,133795010,26918
133795121,133795010,61114
133795177,133795010,52697
133795096,133795010,61103
133795157,133795010,52791
133795103,133795010,61096
133795073,133795010,55370
133795195,133795010,55062
133795206,133795010,65101
133795048,133795010,2054922
133795116,133795010,61109
133795068,133795010,52973
133795054,133795010,2054931
133795127,133795010,61120
133795012,133795010,43193
133795143,133795010,55042
133795131,133795010,52673
133798903,133795010,69589
133795086,133795010,59734
133798911,133795010,69596
133795078,133795010,27733
133795050,133795010,2054927
133795194,133795010,55061
133795162,133795010,52796
133795064,133795010,52866
133795061,133795010,2054955
133795013,133795010,26528
133795026,133795010,26919
133795161,133795010,52793
133795152,133795010,52789
133795183,133795010,55055
133795028,133795010,26921
133798925,133795010,69611
151040545,133795010,72713
133795102,133795010,61095
133798933,133795010,69619
133798935,133795010,69621
133795118,133795010,61111
133795081,133795010,56269
133795126,133795010,61119
133798922,133795010,69608
133795138,133795010,55041
133795196,133795010,66482
133798909,133795010,69594
133795093,133795010,65104
133798905,133795010,69591
151040551,133795010,72710
133795104,133795010,61097
133795185,133795010,55057
139651486,133795010,72204
133798910,133795010,69595
133798901,133795010,69587
134107143,133795010,66426
133795164,133795010,52687
133798920,133795010,69606
133795155,133795010,52683
133795147,133795010,55048
133795188,133795010,55060
133795042,133795010,2054905
133795175,133795010,52694
133798919,133795010,69605
133795105,133795010,61098
133795212,133795010,61132
133795027,133795010,26920
133795047,133795010,2054921
133795072,133795010,55369
133795133,133795010,55040
133798902,133795010,69588
133795140,133795010,55095
133795014,133795010,59634
133795094,133795010,68476
133795134,133795010,55038
133795051,133795010,2054928
139889703,133795010,72272
133798932,133795010,69618
133795083,133795010,57807
133798924,133795010,69610
133795148,133795010,55049
133795203,133795010,63932
133795168,133795010,55054
133795166,133795010,55052
133795190,133795010,55085
133795208,133795010,65102
133795090,133795010,59738
136619426,133795010,70885
133795022,133795010,26915
133795095,133795010,61102
133795136,133795010,55037
133795160,133795010,52788
133795137,133795010,55094
133795070,133795010,52975
133795200,133795010,62887
136619423,133795010,70886
133795030,133795010,26923
136619422,133795010,70926
133795187,133795010,55059
133795186,133795010,55058
133795065,133795010,52811
133795141,133795010,55043
151040546,133795010,72714
133795040,133795010,2054904
133795021,133795010,26908
133795076,133795010,20033
133795122,133795010,61115
133795192,133795010,68482
133795046,133795010,2054919
133798914,133795010,69600
133795139,133795010,55044
133795052,133795010,2054929
133795218,133795010,23557
133795211,133795010,68510
