id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta
133798181,133797961,55023,3
133798185,133797961,52662,4
133798187,133797961,55027,4
133798182,133797961,55024,3
133798183,133797961,55025,3
133798171,133797961,55019,1
133798174,133797961,66438,1
133798186,133797961,55026,4
133798170,133797961,55082,1
133798189,133797961,52664,5
133798177,133797961,55021,2
133798191,133797961,52790,6
133798176,133797961,55020,2
133798188,133797961,52666,4
133798180,133797961,52665,2
133798173,133797961,66436,1
133798175,133797961,66440,1
133798172,133797961,66441,1
133798178,133797961,66444,2
133798179,133797961,55022,2
133798190,133797961,55028,5
133798184,133797961,66437,3
