semestre_oferta,codigo
3,IMD0029
4,IMD0024
4,IMD0040
3,IMD0030
3,IMD0038
1,IMD0017
1,IMD1003
4,IMD0039
1,IMD0020
5,IMD0033
2,IMD0027
6,IMD0401
2,IMD0018
4,IMD0036
2,IMD0034
1,IMD1002
1,IMD1004
1,IMD1001
2,IMD1012
2,IMD0028
5,IMD0043
3,IMD0121
3,IMD0121
1,IMD1001
2,IMD0028
5,IMD0043
3,IMD0030
4,IMD0039
3,IMD0029
3,IMD0038
2,IMD1012
1,IMD1003
4,IMD0036
1,IMD0017
1,IMD1004
1,IMD1002
1,IMD0018
1,IMD0020
4,IMD0040
6,IMD0401
2,IMD0024
2,IMD0034
3,IMD0033
2,IMD0027
1,IMD1002
4,IMD0040
1,IMD0018
1,IMD0017
2,IMD0034
2,IMD0012
1,IMD1001
5,DIM0546
7,DIM0614
5,DIM0507
3,IMD0030
2,IMD0027
3,IMD0033
4,DIM0508
4,IMD0039
7,DIM0516
2,IMD0028
5,DIM0138
3,IMD0038
1,IMD1004
6,DIM0547
7,DIM0511
6,DIM0124
5,DIM0549
4,DIM0501
1,IMD0020
1,IMD1003
3,IMD0121
3,IMD0029
2,IMD0024
6,DIM0505
7,DIM0548
5,DIM0125
5,IMD0043
4,DIM0504
4,IMD0036
4,IMD0120
5,EST0323
1,IMD0017
2,IMD0028
4,IMD0039
1,IMD0018
1,IMD1002
5,DIM0601
3,IMD0038
1,IMD0020
5,DIM0549
4,MAT0312
6,DIM0605
1,IMD1003
3,IMD0033
1,IMD1001
7,DIM0124
3,IMD0121
2,IMD0034
5,DIM0404
3,IMD0030
6,DIM0606
2,IMD0024
6,DIM0138
2,IMD1012
6,IMD0401
4,IMD0040
7,DIM0610
2,IMD0027
6,IMD0036
7,DIM0438
3,IMD0029
5,IMD0122
4,MAT0309
1,IMD1004
7,DIM0437
