id_curriculo_componente,id_curriculo,id_componente_curricular
133799104,133797961,69607
133798108,133797961,52791
140868914,133797961,26904
133799102,133797961,69605
133798004,133797961,2054929
133798149,133797961,61129
133798117,133797961,55052
133798094,133797961,55096
133798007,133797961,2054932
133798023,133797961,52990
133799110,133797961,69613
133797970,133797961,62382
151036502,133797961,72710
133798005,133797961,2054930
133798025,133797961,55370
133798055,133797961,61096
133799092,133797961,69594
133798036,133797961,59732
133797993,133797961,2054957
133798115,133797961,52687
133798146,133797961,55062
133798100,133797961,55050
133797985,133797961,23558
151036496,133797961,72713
133799091,133797961,69593
133798088,133797961,55037
136619680,133797961,70884
133799116,133797961,69619
133799118,133797961,69621
133798065,133797961,61087
133798038,133797961,59734
133798093,133797961,55043
133798012,133797961,2054954
133798022,133797961,52975
133798139,133797961,55060
133798130,133797961,52699
133798089,133797961,55094
133798073,133797961,61114
133798067,133797961,61094
133799112,133797961,69615
133797991,133797961,2040950
133798033,133797961,56269
133798132,133797961,52702
133799095,133797961,69597
133798002,133797961,2054927
133798145,133797961,55061
133798028,133797961,20033
133799106,133797961,69609
133798071,133797961,61112
133798085,133797961,55040
133797984,133797961,26931
133798148,133797961,66665
133797963,133797961,43193
133799087,133797961,69590
133798163,133797961,61132
133797968,133797961,55940
133799098,133797961,69601
133797967,133797961,55939
133798113,133797961,52796
133798099,133797961,55049
133798116,133797961,52688
133799096,133797961,69599
133798162,133797961,68510
133798134,133797961,55055
133799097,133797961,69600
133798087,133797961,55039
133798013,133797961,2054955
133798014,133797961,2054956
133798066,133797961,61093
133798109,133797961,52795
137509119,133797961,70970
133798160,133797961,68478
133798114,133797961,52686
133799100,133797961,69603
133798091,133797961,55044
136619679,133797961,70883
133798062,133797961,61084
133798024,133797961,55369
133798020,133797961,52973
133798092,133797961,55095
133799121,133797961,69624
133797974,133797961,26916
133797982,133797961,26924
133799089,133797961,69598
133798084,133797961,55036
133798060,133797961,61101
133798127,133797961,52794
133797989,133797961,21783
133798083,133797961,52673
133797978,133797961,26920
133798072,133797961,61113
133798095,133797961,55042
133798105,133797961,52682
136481511,133797961,68509
133798074,133797961,61115
133797983,133797961,68133
133798001,133797961,2054925
133798126,133797961,52694
139890032,133797961,72274
133798138,133797961,55059
133798011,133797961,2054953
133798068,133797961,61109
133798042,133797961,59738
133798159,133797961,65102
133798027,133797961,25561
133797994,133797961,2054905
134107162,133797961,64879
133798133,133797961,52996
133798125,133797961,52693
133797972,133797961,26908
133798003,133797961,2054928
133798081,133797961,61122
133798141,133797961,55085
133797977,133797961,26919
133798123,133797961,52691
133797973,133797961,26915
133798102,133797961,52792
133798026,133797961,23553
133798096,133797961,55045
133797971,133797961,68447
133799099,133797961,69602
133798098,133797961,55048
133798039,133797961,59735
151006945,133797961,66443
133798063,133797961,61085
133799090,133797961,69592
133798154,133797961,63932
133798122,133797961,52690
133798112,133797961,52793
133797962,133797961,2041507
137397242,133797961,69695
133798010,133797961,2054952
133799101,133797961,69604
133798029,133797961,46256
133798104,133797961,52685
133798000,133797961,2054922
133799086,133797961,69589
133798009,133797961,2054951
133798058,133797961,61099
133798167,133797961,55325
133798031,133797961,51457
133799108,133797961,69611
133798054,133797961,61095
133798165,133797961,65103
133797986,133797961,21764
133798166,133797961,53193
133797976,133797961,26918
133798050,133797961,61105
133798131,133797961,52700
133798051,133797961,61106
133798119,133797961,55054
133798030,133797961,27733
139853022,133797961,72275
151036498,133797961,72715
133797966,133797961,64877
133798124,133797961,52692
133799084,133797961,69587
133799120,133797961,69623
133798147,133797961,66482
133798059,133797961,61100
139850505,133797961,69693
133797987,133797961,21717
133798037,133797961,59733
133799107,133797961,69610
151036495,133797961,72711
133798103,133797961,52789
133798017,133797961,52811
133797992,133797961,2054904
137397243,133797961,69696
133798021,133797961,52974
133798161,133797961,66481
136619677,133797961,70926
134089101,133797961,69698
133798016,133797961,52866
133799119,133797961,69622
133798046,133797961,68476
133798040,133797961,59736
151042306,133797961,52689
133798048,133797961,61103
133799083,133797961,69586
133798043,133797961,59739
133798121,133797961,55083
133797969,133797961,62381
133799113,133797961,69616
133798034,133797961,57806
133798136,133797961,55057
133797999,133797961,2054921
133798070,133797961,61111
133798053,133797961,61108
133798008,133797961,2054950
133798077,133797961,61118
133798064,133797961,61086
133797965,133797961,59634
133798044,133797961,63935
133798061,133797961,61083
134107164,133797961,66426
133798049,133797961,61104
133798110,133797961,52681
133798052,133797961,61107
133797980,133797961,26922
133798069,133797961,61110
151036501,133797961,72717
151036500,133797961,72709
139890031,133797961,72272
137397244,133797961,66439
136619678,133797961,70886
133797998,133797961,2054919
133798111,133797961,52788
133797981,133797961,26923
136619681,133797961,70885
133798032,133797961,52536
133799117,133797961,69620
133798047,133797961,61102
133797975,133797961,26917
133798169,133797961,23557
133799105,133797961,69608
133797964,133797961,26528
133798078,133797961,61119
133798118,133797961,55053
133799088,133797961,69591
133798107,133797961,52684
151036497,133797961,72714
133798106,133797961,52683
133798086,133797961,55038
133798155,133797961,63933
133798157,133797961,65101
133798150,133797961,62886
133798164,133797961,68477
133797988,133797961,21787
133798101,133797961,55051
133798056,133797961,61097
133798135,133797961,55056
134107163,133797961,66424
133798015,133797961,52813
133799111,133797961,69614
133797979,133797961,26921
133799115,133797961,69618
133798075,133797961,61116
133799094,133797961,69596
133798153,133797961,61130
133799114,133797961,69617
133798035,133797961,57807
133798158,133797961,63934
133798120,133797961,55074
133798129,133797961,52698
133798079,133797961,61120
133798057,133797961,61098
133798151,133797961,62887
133798140,133797961,55084
133798006,133797961,2054931
133798156,133797961,63937
133798097,133797961,55047
133798076,133797961,61117
133798082,133797961,52672
133798144,133797961,63936
133799085,133797961,69588
133798137,133797961,55058
133798128,133797961,52697
139652270,133797961,72205
139652269,133797961,72204
133798019,133797961,52972
133798045,133797961,65104
151036499,133797961,72708
133799093,133797961,69595
133798152,133797961,62888
133799082,133797961,69585
139890030,133797961,72273
133798080,133797961,61121
133798168,133797961,23538
133798143,133797961,68482
134107161,133797961,64878
133798041,133797961,59737
133798090,133797961,55041
133799103,133797961,69606
133798142,133797961,68479
133799109,133797961,69612
133795058,133795010,2054952
133795035,133795010,21764
133795025,133795010,26918
133795121,133795010,61114
133795177,133795010,52697
133795096,133795010,61103
133795157,133795010,52791
133795103,133795010,61096
133795073,133795010,55370
133795195,133795010,55062
133795206,133795010,65101
133795048,133795010,2054922
133795116,133795010,61109
133795068,133795010,52973
133795054,133795010,2054931
133795127,133795010,61120
133795012,133795010,43193
133795143,133795010,55042
133795131,133795010,52673
133798903,133795010,69589
133795086,133795010,59734
133798911,133795010,69596
133795078,133795010,27733
133795050,133795010,2054927
133795194,133795010,55061
133795162,133795010,52796
133795064,133795010,52866
133795061,133795010,2054955
133795013,133795010,26528
133795026,133795010,26919
133795161,133795010,52793
133795152,133795010,52789
133795183,133795010,55055
133795028,133795010,26921
133798925,133795010,69611
151040545,133795010,72713
133795102,133795010,61095
133798933,133795010,69619
133798935,133795010,69621
133795118,133795010,61111
133795081,133795010,56269
133795126,133795010,61119
133798922,133795010,69608
133795138,133795010,55041
133795196,133795010,66482
133798909,133795010,69594
133795093,133795010,65104
133798905,133795010,69591
151040551,133795010,72710
133795104,133795010,61097
133795185,133795010,55057
139651486,133795010,72204
133798910,133795010,69595
133798901,133795010,69587
134107143,133795010,66426
133795164,133795010,52687
133798920,133795010,69606
133795155,133795010,52683
133795147,133795010,55048
133795188,133795010,55060
133795042,133795010,2054905
133795175,133795010,52694
133798919,133795010,69605
133795105,133795010,61098
133795212,133795010,61132
133795027,133795010,26920
133795047,133795010,2054921
133795072,133795010,55369
133795133,133795010,55040
133798902,133795010,69588
133795140,133795010,55095
133795014,133795010,59634
133795094,133795010,68476
133795134,133795010,55038
133795051,133795010,2054928
139889703,133795010,72272
133798932,133795010,69618
133795083,133795010,57807
133798924,133795010,69610
133795148,133795010,55049
133795203,133795010,63932
133795168,133795010,55054
133795166,133795010,55052
133795190,133795010,55085
