id_componente,codigo,nome,ch_teorico,ch_pratico,ch_total,equivalencia,pre_requisito,co_requisito
20033,FIS0313,ONDAS E FISICA MODERNA,60,0,60,( FIS0112 ) OU ( FIS0318 ) OU ( FIS0622 ) OU ( FIS0604 ) OU ( FIS0804 ) ,( ( ( MAT0311 ) E ( FIS0311 ) E ( FIS0312 ) ) OU ( FIS0601 E ( MAT0345 OU MAT0228 ) OU ( FIS0317 ) OU ( FIS0311 ) OU ( MAT0311 ) ) ) ,
21083,DIM0346,GERENCIAMENTO E SEGURANCA EM REDES DE COMPUTADORES,45,15,60,,( ( DCA0450 ) OU ( DIM0061 ) OU ( DIM0438 ) OU ( DCA0113 ) OU ( DIM0500 ) ) ,
21705,DIM0411,PROCESSAMENTO DE IMAGENS,60,0,60,,( IMD0024 E ( IMD0039 OU DIM0117 ) E ( IMD0040 OU DIM0116 ) ) ,
21717,DIM0415,LOGICAS NAO-CLASSICAS,60,0,60,,( FIL0103 OU DIM0505 OU DIM0601 ) ,
21752,DIM0335,APLIC.DE GRAFOS A EXPLOR.E DISTRIB.DO PETROLEO,60,0,60,,( DIM0429 OU DIM0328 OU DIM0315 OU DIM0013 OU DIM0111 OU DIM0117 OU IMD0039 ) ,
21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,60,0,60,,( ECT1203 OU DCA0800 OU DIM0321 OU DIM0108 OU TAD0002 OU IMD1012 OU DIM0133 ) ,
21774,DIM0408,MODELOS E ALGORITMOS EM OTIMIZACAO COMBINATORIA,60,0,60,,( ( DIM0406 ) ) ,
21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,60,0,60,( DIM0304 ) ,( DIM0428 E DIM0429 ) OU DIM0111 OU ( DIM0601 E ( IMD0040 OU DIM0116 ) ) ,
21787,DIM0436,ESPECIFICACAO E VERIFICACAO DE PROGRAMAS,60,0,60,( DIM0072 ) OU ( DIM0336 ) ,( ( DIM0430 ) E ( ( ( DIM0427 ) E ( DIM0426 ) ) OU ( DIM0110 ) ) ) OU ( DIM0610 E IMD0039 ) ,
21790,DIM0438,REDES DE COMPUTADORES,60,0,60,( DIM0061 ) OU ( IMD0043 ) ,DIM0432 OU DIM0431 OU IMD0041 OU IMD0121 OU DIM0127 ,
23465,FIS0317,ELEMENTOS DE ELETRICIDADE E MAGNETISMO,60,0,60,( FIS0312 ) OU ( FIS0703 ) OU ( FIS0603 ) ,( ( MAT0005 ) OU ( MAT0229 ) OU ( MAT0312 ) OU ( MAT0057 E MAT0058 ) ) ,
23538,MAT0312,MATEMATICA PARA ENGENHARIA II,90,0,90,( MAT0005 ) OU ( MAT0202 ) OU ( MAT0321 ) OU ( MAT0229 ) OU ( MAT0059 E MAT0060 ) OU ( MAT0346 ) OU ( MAT0341 ) OU ( ECT1202 ) OU ( ECT1212 ) ,( MAT0228 OU MAT0311 OU MAT0318 ) OU ( MAT0057 E MAT0058 ) OU ( MAT0345 ) OU ( MAT0340 ) OU ( IMD0024 ) ,
23553,EST0323,ESTATISTICA APLICADA A ENGENHARIA I,60,0,60,( EST0314 ) OU ( EST0313 ) OU ( EST0317 ) OU ( EST0312 ) OU ( PRO1005 ) OU ( ECT1301 ) OU ( EST0311 ) OU ( EST0062 E EST0115 E EST0116 ) OU ( EST0062 E EST0067 ) ,( ( MAT0311 ) OU ( MAT0005 ) ) ,
23557,MAT0314,MATEMATICA PARA ENGENHARIA III,90,0,90,( MAT0061 OU MAT0049 ) OU ( DCA0429 ) OU ( MAT0342 ) OU ( MAT0347 ) OU ( ELE0581 ) OU ( PRO1002 OU MAT0024 ) OU ( MAT0232 ) ,( MAT0312 ) ,
23558,DIM0404,CALCULO NUMERICO PARA CIENCIA DA COMPUTACAO,60,0,60,( DIM0040 ) ,( ( MAT0312 OU MAT0346 ) E ( MAT0343 ) ) OU ( MAT0312 E MAT0309 ) ,
25561,FIS0311,MECANICA CLASSICA,90,0,90,( FIS0001 E FIS0002 ) OU ( FIS0103 ) OU ( FIS0701 ) OU ( FIS0601 ) OU ( ECT1214 ) OU ( ECT2204 ) OU ( FIS0801 ) ,,( ( MAT0023 ) OU ( MAT0311 ) OU ( MAT0228 ) OU ( MAT0058 ) OU ( MAT0318 ) OU ( MAT0345 ) OU ( MAT0340 ) OU ( PRO1001 ) ) 
25764,DIM0345,EMPREENDEDORISMO,60,0,60,( PRO0207 ) E ( PRO0208 OU PRO0209 OU PRO0210 ) ,,
26528,DAN0012,CULTURA E MEIO AMBIENTE,60,0,60,,,
26904,DIM0024,SEMINARIO DE COMPUTACAO,30,0,30,,,
26908,DIM0036,TOPICOS ESPECIAIS EM COMPUTACAO,45,15,60,,,
26915,DIM0090,TOPICOS ESPECIAIS EM COMPUTACAO I,30,0,30,,,
26916,DIM0091,TOPICOS ESPECIAIS EM COMPUTACAO II,30,0,30,,,
26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,30,0,30,,,
26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,30,0,30,,,
26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,30,0,30,,,
26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,60,0,60,,,
26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,60,0,60,,,
26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,60,0,60,,,
26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,60,0,60,,,
26924,DIM0099,TOPICOS ESPECIAIS EM COMPUTACAO X,60,0,60,,,
26928,DIM0311,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO I,30,0,30,,,
26929,DIM0312,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO II,60,0,60,,,
26930,DIM0333,ELEM.DE PESQ.OPER.APLIC. A INDUST.DO PETROLEO,60,0,60,,( IMD0029 OU DIM0119 ) ,
26931,DIM0340,FORMACAO HUMANISTICA EM COMPUTACAO,30,0,30,,,
26934,DIM0401,SEMINARIOS DE CC,0,30,30,,,
27733,HIS0037,HISTORIA INDIGENA NO BRASIL,30,30,60,( HST3503 ) ,,
40136,DIM0445,COMPUTABILIDADE,60,0,60,,( ( DIM0049 ) OU ( DIM0439 ) ) ,
42066,LEM2020,INGLÊS PARA FINS ACADÊMICOS I,60,0,60,( LET0029 ) OU ( LET0040 ) ,,
42067,LEM2021,INGLÊS PARA FINS ACADÊMICOS II,60,0,60,( LET0030 ) OU ( LET0041 ) ,LEM2020 ,
43193,DAN0007,ANTROPOLOGIA AFRO-BRASILEIRA,45,15,60,,,
43523,DIM0453,TREINAMENTO AVANCADO PARA COMPETICOES DE PROGRAMACAO,30,30,60,,( DIM0110 ) OU ( DIM0410 ) ,
46256,FPE0087,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS,45,15,60,( EDU0087 OU EDE0200 OU LET0568 ) ,,
47074,ECT1564,GESTÃO ESTRATÉGICA,60,0,60,,,
